,baseline_run,query_expansion_run,Difference
faithfulness,0.6876543209876543,0.5043851210517878,-0.18326919993586654
answer_relevancy,0.9784687480572091,0.8707384790578889,-0.10773026899932014
context_precision,0.831172839475913,0.8665895061458379,0.03541666666992482
context_recall,0.9259259259259258,0.9537037037037036,0.02777777777777779
answer_correctness,0.6377842610754443,0.6160338495558252,-0.021750411519619095
answer_similarity,0.948604744644044,0.9089033835434017,-0.03970136110064226
