,baseline_run,new_embeddings_run,Difference
faithfulness,0.6876543209876543,0.8057539682539683,0.11809964726631395
answer_relevancy,0.9784687480572091,0.9719706163340115,-0.0064981317231975755
context_precision,0.831172839475913,0.92800925922913,0.096836419753217
context_recall,0.9259259259259258,0.9398148148148147,0.01388888888888884
answer_correctness,0.6377842610754443,0.6363179249590681,-0.0014663361163761435
answer_similarity,0.948604744644044,0.9515597299698239,0.0029549853257798686
